id;relid;year;active_year;code_status;type_of_violence;conflict_dset_id;conflict_new_id;conflict_name;dyad_dset_id;dyad_new_id;dyad_name;side_a_dset_id;side_a_new_id;side_a;side_b_dset_id;side_b_new_id;side_b;number_of_sources;source_article;source_office;source_date;source_headline;source_original;where_prec;where_coordinates;where_description;adm_1;adm_2;latitude;longitude;geom_wkt;priogrid_gid;country;country_id;region;event_clarity;date_prec;date_start;date_end;deaths_a;deaths_b;deaths_civilians;deaths_unknown;best_est;high_est;low_est
275165;AFG-2018-3-973-200;2018;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;2;"""Vox Peccavi,2019-01-06,NORTHERN NIGERIA INTERNAL SECURITY SITREP- Week Ending 22 December 2018""";;;;;;;;;;;;;;;;;;;;;;;;;;;
374301;NIR-2020-1-14668-29;2020;True;Clear;01/01/1900;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;3;"""@MENASTREAM,2020-12-21,#Niger: Ambush by presumed #ISGS""";;;;;;;;;;;;;;;;;;;;;;;;;;;
342346;NIR-2020-1-15174-1;2020;False;Clear;1;430;430;Niger: Government;15174,0;15174;Government of Niger - JNIM;75;75;Government of Niger;6716;6716;JNIM;2;"""Menastream on Twitter,2020-05-09,#Sahel""";;;;;;;;;;;;;;;;;;;;;;;;;;;
254293;NIR-2018-1-14668-13;2018;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Crisis Watch January,2018-01-31,Niger  JANUARY 2018""";Crisis Watch January;31/01/2018;Niger  JANUARY 2018;;2;Bani Bangou town;Banibangou area;Tillabéri region;Ouallam department;15.041600;2.703700;POINT (2.7037 15.0416);151566;Niger;436;Africa;1;1;01/17/2018 00:00:00;01/17/2018 00:00:00;0;15;0;0;15;15;15
285455;NIR-2019-1-14668-47;2019;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Crisis Watch,2019-04-30,Niger  APRIL 2019""";Crisis Watch;30/04/2019;Niger  APRIL 2019;;4;Tahoua region;Tahoua region;Tahoua region;;16.000000;5.500000;POINT (5.5 16);153012;Niger;436;Africa;1;1;04/20/2019 00:00:00;04/20/2019 00:00:00;0;0;0;0;0;5;0
285457;AFG-2019-3-973-94;2019;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;2;"""Crisis Watch,2019-04-30,Niger  APRIL 2019""";;;;;;;;;;;;;;;;;;;;;;;;;;;
430784;NIR-2022-1-14668-3;2022;True;Clear;01/01/1900;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;3;"""Agence France Presse,2022-02-22,Up to 18 civilians feared killed near Niger's border with Mali""";;;;;;;;;;;;;;;;;;;;;;;;;;;
457413;NIR-2022-1-14668-43;2022;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""Zagazola ,2022-11-30,Nigerien Armed Forces eliminates several ISWAP/Boko Haram terrorists in the country""";Zagazola;30/11/2022;Nigerien Armed Forces eliminates several ISWAP/Boko Haram terrorists in the country;Zagazola;2;Tiguezefan village;TIGUEZEFAN area;Tillabéri region;Filingué department;15.231030;3.312217;POINT (3.312217 15.23103);151567;Niger;436;Africa;1;4;11/21/2022 00:00:00;11/30/2022 00:00:00;0;6;0;0;6;6;0
193307;NIG-2015-1-793-43;2015;True;Clear;1;297;297;Nigeria: Government;640,0;640;Government of Nigeria - JAS;84;84;Government of Nigeria;1051;1051;JAS;1;"""Agence France Presse,2015-02-17,Suspected Boko Haram suicide attack thwarted in Niger""";Agence France Presse;17/02/2015;Suspected Boko Haram suicide attack thwarted in Niger;the Niger army;1;Bagara village;Bagara, near the town of Diffa;Diffa region;Diffa department;13.365120;12.445160;POINT (12.44516 13.36512);148705;Niger;436;Africa;1;1;02/16/2015 00:00:00;02/16/2015 00:00:00;0;1;0;0;1;1;1
193310;NIG-2015-1-640-0;2015;True;Clear;1;297;297;Nigeria: Government;640,0;640;Government of Nigeria - JAS;84;84;Government of Nigeria;1051;1051;JAS;4;"""Agence France Presse,2015-02-18,Nigerian military claims success, civilians killed in air strike""";;;;;;;;;;;;;;;;;;;;;;;;;;;
413899;AFG-2021-3-973-377;2021;True;Clear;3;234;506;IS - Civilians;234,0;973;IS - Civilians;234;234;IS;9999;1;Civilians;5;"""BBC Monitoring Africa,2021-08-17,Thirty-seven killed in Niger's Tillaberi Region attack""";;;;;;;;;;;;;;;;;;;;;;;;;;;
436232;NIR-2022-1-14668-8;2022;True;Clear;01/01/1900;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;3;"""Agence France Presse,2022-04-13,Seven Niger police officers killed by suspected jihadists""";;;;;;;;;;;;;;;;;;;;;;;;;;;
484487;NIR-2023-1-14668-39;2023;True;Clear;1;13639;13639;Niger: Islamic State;14668,0;14668;Government of Niger - IS;75;75;Government of Niger;234;234;IS;1;"""BBC Monitoring Africa,2023-07-28,IS claims killing 'spies' in Niger, Mali""";BBC Monitoring Africa;28/07/2023;IS claims killing 'spies' in Niger, Mali;ISWAP;2;Tiloa village;Tiloa in Niger's south-western Tillaberi region;Tillabéri region;Ouallam department;15.065100;2.054800;POINT (2.0548 15.0651);151565;Niger;436;Africa;1;2;06/24/2023 00:00:00;06/25/2023 00:00:00;0;0;0;2;2;2;0
